clients,cache_mode,update_body_bytes,artifact_bytes,manifest_ms,read_ms,hash_ms,parse_ms,aggregate_ms,checkpoint_ms,detection_ms,challenge_package_ms,verification_ms,total_ms,cpu_ms,local_throughput_mib_s,verdict,challenge_hash,repetition
100,fadvise,10485760,1048598300,0.545428,722.717863,697.245824,215.43726,249.390562,19.631935,0.000864,0.0,1904.969736,1909.137694,1677.116582,523.8078269996464,UPHELD,,20
100,fadvise,10485760,1048598300,0.202336,710.911124,681.537375,211.270207,242.474424,15.696393,0.000747,0.020216,1862.0926060000002,1866.025741,1632.616612,535.9096849335776,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,21
100,fadvise,10485760,1048598300,0.316801,709.938272,680.978088,205.525584,229.998926,17.725066,0.001259,0.0,1844.4839959999997,1848.85426,1620.353226,540.8870177453879,UPHELD,,22
100,fadvise,10485760,1048598300,0.181554,696.981437,661.204092,202.226923,226.086126,18.464152,0.000636,0.024758,1805.14492,1809.354407,1588.162394,552.6950734849902,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,23
100,fadvise,10485760,1048598300,0.2421,689.277007,685.12434,206.931309,238.294082,19.552157,0.001075,0.0,1839.4220699999998,1843.968596,1621.38178,542.3201181986159,UPHELD,,24
100,fadvise,10485760,1048598300,0.215367,697.97927,678.161079,206.373165,228.082082,21.608904,0.000753,0.023045,1832.4206199999999,1836.903816,1606.794679,544.4058955219982,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,25
100,fadvise,10485760,1048598300,0.178651,709.80774,684.686182,205.854635,235.69595,19.12472,0.000745,0.0,1855.348623,1859.598185,1631.171998,537.762014936176,UPHELD,,26
100,fadvise,10485760,1048598300,0.2367,698.700805,691.089437,204.144041,235.60694,15.913266,0.000574,0.020472,1845.6917629999998,1849.81048,1621.22951,540.6074177594971,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,27
100,fadvise,10485760,1048598300,0.207482,711.796825,695.947777,208.96786,230.793258,17.740339,0.001168,0.0,1865.454709,1869.701153,1633.57462,534.8562070107766,UPHELD,,28
100,fadvise,10485760,1048598300,0.233211,712.711776,687.541041,211.333686,237.71023,17.670925,0.000715,0.021738,1867.2015839999997,1871.759778,1644.019786,534.2679539816759,REVISED,3bfe2db5dcc2e0d48368862e044a01b981a468bed5ac17a88ee1512368471c09,29
